Puzzle,Model,Time,Correct
..............8.79.183....6..9..2...2.....4..5..4...63....25...7.....64.9.....1.5,Brute Force Solver,145.7491ms,true
..............8.79.183....6..9..2...2.....4..5..4...63....25...7.....64.9.....1.5,Rule Based Solver,2.543ms,true
..............8.79.183....6..9..2...2.....4..5..4...63....25...7.....64.9.....1.5,Constraint Programming Solver,14.2884ms,true
..............8.79.183....6..9..2...2.....4..5..4...63....25...7.....64.9.....1.5,"Stochastic (T=10000, cooling=0.999)",3.2008305s,true
..............82.7..1.74.3.........6...4...7..64.2981...9.......3..82..5...5...6.,Brute Force Solver,146.1037ms,true
..............82.7..1.74.3.........6...4...7..64.2981...9.......3..82..5...5...6.,Rule Based Solver,2.5421ms,true
..............82.7..1.74.3.........6...4...7..64.2981...9.......3..82..5...5...6.,Constraint Programming Solver,14.9115ms,true
..............82.7..1.74.3.........6...4...7..64.2981...9.......3..82..5...5...6.,"Stochastic (T=10000, cooling=0.999)",6.2623025s,true
..............9....9.2.7.68......7...3.1....586.....92.....3.4.7...6.....29.8.5.1,Brute Force Solver,147.9164ms,true
..............9....9.2.7.68......7...3.1....586.....92.....3.4.7...6.....29.8.5.1,Rule Based Solver,2.5666ms,true
..............9....9.2.7.68......7...3.1....586.....92.....3.4.7...6.....29.8.5.1,Constraint Programming Solver,14.0922ms,true
..............9....9.2.7.68......7...3.1....586.....92.....3.4.7...6.....29.8.5.1,"Stochastic (T=10000, cooling=0.999)",3.4838932s,true
..............9.3827.51..9.4..3..9....1...3....7..5..2.9..32.8658.1..............,Brute Force Solver,148.7821ms,true
..............9.3827.51..9.4..3..9....1...3....7..5..2.9..32.8658.1..............,Rule Based Solver,2.4905ms,true
..............9.3827.51..9.4..3..9....1...3....7..5..2.9..32.8658.1..............,Constraint Programming Solver,14.4364ms,true
..............9.3827.51..9.4..3..9....1...3....7..5..2.9..32.8658.1..............,"Stochastic (T=10000, cooling=0.999)",5.5360069s,true
..............9831.9283.5.....2.....7......8...1.95...........31....7..6..3...24.,Brute Force Solver,143.477ms,true
..............9831.9283.5.....2.....7......8...1.95...........31....7..6..3...24.,Rule Based Solver,2.4737ms,true
..............9831.9283.5.....2.....7......8...1.95...........31....7..6..3...24.,Constraint Programming Solver,14.2027ms,true
..............9831.9283.5.....2.....7......8...1.95...........31....7..6..3...24.,"Stochastic (T=10000, cooling=0.999)",4.6359676s,true
.............1.5.3.43.....2....93....57..2..99.6.8..51.............38..741....9.5,Brute Force Solver,141.1213ms,true
.............1.5.3.43.....2....93....57..2..99.6.8..51.............38..741....9.5,Rule Based Solver,4.8224ms,true
.............1.5.3.43.....2....93....57..2..99.6.8..51.............38..741....9.5,Constraint Programming Solver,14.6974ms,true
.............1.5.3.43.....2....93....57..2..99.6.8..51.............38..741....9.5,"Stochastic (T=10000, cooling=0.999)",2.8926908s,true
.............198..7.83.2.1............312.4....1..59.....4....3...7.8.2.59....7..,Brute Force Solver,37.678119s,true
.............198..7.83.2.1............312.4....1..59.....4....3...7.8.2.59....7..,Rule Based Solver,4.7182ms,true
.............198..7.83.2.1............312.4....1..59.....4....3...7.8.2.59....7..,Constraint Programming Solver,28.817ms,true
.............198..7.83.2.1............312.4....1..59.....4....3...7.8.2.59....7..,"Stochastic (T=10000, cooling=0.999)",9.9619856s,true
.............2..5.1.7....96..........4..9..8731..82.........8....2.63.....65..9.3,Brute Force Solver,143.7757ms,true
.............2..5.1.7....96..........4..9..8731..82.........8....2.63.....65..9.3,Rule Based Solver,2.5524ms,true
.............2..5.1.7....96..........4..9..8731..82.........8....2.63.....65..9.3,Constraint Programming Solver,13.7239ms,true
.............2..5.1.7....96..........4..9..8731..82.........8....2.63.....65..9.3,"Stochastic (T=10000, cooling=0.999)",2.3241897s,true
.............29.8..74..5..2.......1.9.3..7...6.7.3..48....9...3.65.......4.2..6..,Brute Force Solver,139.7368ms,true
.............29.8..74..5..2.......1.9.3..7...6.7.3..48....9...3.65.......4.2..6..,Rule Based Solver,2.5481ms,true
.............29.8..74..5..2.......1.9.3..7...6.7.3..48....9...3.65.......4.2..6..,Constraint Programming Solver,13.7791ms,true
.............29.8..74..5..2.......1.9.3..7...6.7.3..48....9...3.65.......4.2..6..,"Stochastic (T=10000, cooling=0.999)",2.8985047s,true
.............37.48.7..84.12.....9....3..1..7..6....8....5..1....8..4......38..6.5,Brute Force Solver,88.7153143s,true
.............37.48.7..84.12.....9....3..1..7..6....8....5..1....8..4......38..6.5,Rule Based Solver,2.4564ms,true
.............37.48.7..84.12.....9....3..1..7..6....8....5..1....8..4......38..6.5,Constraint Programming Solver,29.9792ms,true
.............37.48.7..84.12.....9....3..1..7..6....8....5..1....8..4......38..6.5,"Stochastic (T=10000, cooling=0.999)",2.5925853s,true
.............7....2.7....89.8...1.65.2.48......6...3..5..9.......864..7...3.1.6..,Brute Force Solver,153.9176ms,true
.............7....2.7....89.8...1.65.2.48......6...3..5..9.......864..7...3.1.6..,Rule Based Solver,2.5233ms,true
.............7....2.7....89.8...1.65.2.48......6...3..5..9.......864..7...3.1.6..,Constraint Programming Solver,14.025ms,true
.............7....2.7....89.8...1.65.2.48......6...3..5..9.......864..7...3.1.6..,"Stochastic (T=10000, cooling=0.999)",2.7921023s,true
.............7...1.368.94...9...2..31.36....5.6..8.2...1.............32...5.346..,Brute Force Solver,10.6049948s,true
.............7...1.368.94...9...2..31.36....5.6..8.2...1.............32...5.346..,Rule Based Solver,2.4975ms,true
.............7...1.368.94...9...2..31.36....5.6..8.2...1.............32...5.346..,Constraint Programming Solver,28.0582ms,true
.............7...1.368.94...9...2..31.36....5.6..8.2...1.............32...5.346..,"Stochastic (T=10000, cooling=0.999)",4.6620695s,true
.............7..92..52.4.63...........2....5...7842.......3.1..1..4.....39.6.7..4,Brute Force Solver,145.5897ms,true
.............7..92..52.4.63...........2....5...7842.......3.1..1..4.....39.6.7..4,Rule Based Solver,2.5446ms,true
.............7..92..52.4.63...........2....5...7842.......3.1..1..4.....39.6.7..4,Constraint Programming Solver,14.0105ms,true
.............7..92..52.4.63...........2....5...7842.......3.1..1..4.....39.6.7..4,"Stochastic (T=10000, cooling=0.999)",6.2101135s,true
.............7.1...293.....3..1.4.5....6..47.85........6.7.12....8..2.9..9.....45,Brute Force Solver,144.3724ms,true
.............7.1...293.....3..1.4.5....6..47.85........6.7.12....8..2.9..9.....45,Rule Based Solver,2.5956ms,true
.............7.1...293.....3..1.4.5....6..47.85........6.7.12....8..2.9..9.....45,Constraint Programming Solver,14.3917ms,true
.............7.1...293.....3..1.4.5....6..47.85........6.7.12....8..2.9..9.....45,"Stochastic (T=10000, cooling=0.999)",5.278853s,true
.............8..71..1..9..2........4..9.3.6...586.2..3.....6....65....981..72..4.,Brute Force Solver,143.6435ms,true
.............8..71..1..9..2........4..9.3.6...586.2..3.....6....65....981..72..4.,Rule Based Solver,2.5113ms,true
.............8..71..1..9..2........4..9.3.6...586.2..3.....6....65....981..72..4.,Constraint Programming Solver,13.8731ms,true
.............8..71..1..9..2........4..9.3.6...586.2..3.....6....65....981..72..4.,"Stochastic (T=10000, cooling=0.999)",4.4174566s,true
.............87...78...32.4..........3...68.55..1...69..5.....7..9.4...3.219...5.,Brute Force Solver,145.2996ms,true
